index,review_count,positive_count,positive_sum,negative_count,negative_sum
7235,39,32,14.36260095749158,0,0.0
7236,0,0,0.0,0,0.0
7237,0,0,0.0,0,0.0
7238,0,0,0.0,0,0.0
7239,0,0,0.0,0,0.0
7240,0,0,0.0,0,0.0
7241,33,29,14.195574329720893,0,0.0
7242,51,48,22.690454202737396,1,-0.27
7243,12,11,6.0293955627705635,0,0.0
7244,0,0,0.0,0,0.0
7245,3,3,0.6810119047619048,0,0.0
7246,0,0,0.0,0,0.0
7247,71,59,28.0879179605117,3,-0.2965
7248,1,1,0.5,0,0.0
7249,0,0,0.0,0,0.0
7250,174,154,63.89853528410527,5,-0.47444444444444445
7251,22,18,6.962442227598109,0,0.0
7252,21,21,10.11393153524036,0,0.0
7253,116,103,48.16475078294721,6,-0.6534848484848486
7254,13,12,5.218830287515515,1,-0.06666666666666667
7255,17,13,5.295571789321789,1,-0.11
7256,0,0,0.0,0,0.0
7257,1,1,0.38785714285714284,0,0.0
7258,0,0,0.0,0,0.0
7259,0,0,0.0,0,0.0
7260,0,0,0.0,0,0.0
7261,0,0,0.0,0,0.0
7262,0,0,0.0,0,0.0
7263,0,0,0.0,0,0.0
7264,50,49,22.059222853535356,1,-0.1265151515151515
7265,190,169,82.45843923541021,1,-0.08333333333333331
7266,1,1,0.3416666666666667,0,0.0
7267,15,12,5.84544696969697,0,0.0
7268,26,22,9.906837474120083,0,0.0
7269,79,76,33.141702887720754,1,-0.15555555555555559
7270,7,7,3.8334682539682543,0,0.0
7271,3,2,0.40729437229437226,1,-0.18216666666666664
7272,9,5,2.765808080808081,2,-0.09124999999999998
7273,6,3,1.8240625,0,0.0
7274,2,2,0.8140104166666666,0,0.0
7275,1,1,0.3921212121212121,0,0.0
7276,0,0,0.0,0,0.0
7277,88,78,34.757657679126446,2,-0.056376262626262615
7278,99,81,36.34861757814345,2,-0.29166666666666663
7279,6,6,2.637206777597403,0,0.0
7280,0,0,0.0,0,0.0
7281,0,0,0.0,0,0.0
7282,9,7,3.5752314814814814,1,-0.0034090909090909102
7283,0,0,0.0,0,0.0
7284,4,4,1.3053819444444446,0,0.0
7285,0,0,0.0,0,0.0
7286,0,0,0.0,0,0.0
7287,1,1,0.4411111111111111,0,0.0
7288,1432,1168,518.8800055720424,73,-15.295215122412602
7289,0,0,0.0,0,0.0
7290,236,222,96.30386357190093,1,-0.26041666666666663
7291,163,122,47.57818017443854,4,-0.3224431818181818
7292,0,0,0.0,0,0.0
7293,4,0,0.0,2,-0.6577380952380951
7294,0,0,0.0,0,0.0
7295,80,79,37.217980802762064,1,-0.0006249999999999971
7296,208,186,78.5360710059427,2,-0.022095959595959613
7297,0,0,0.0,0,0.0
7298,3,3,1.5760011544011545,0,0.0
7299,6,5,2.457777777777778,0,0.0
7300,11,10,2.9945860990860984,0,0.0
7301,5,3,0.8467439058956916,0,0.0
7302,19,16,7.183793650793651,0,0.0
7303,0,0,0.0,0,0.0
7304,12,10,3.83578373015873,2,-0.08011204481792715
7305,0,0,0.0,0,0.0
7306,16,15,6.505913538216169,0,0.0
7307,2,2,0.48928571428571427,0,0.0
7308,11,10,4.2600396825396825,0,0.0
7309,3,3,1.3467410714285715,0,0.0
7310,0,0,0.0,0,0.0
7311,0,0,0.0,0,0.0
